EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
16.10.2000,27.4471,34.0374,27.3879,29.1598,27.9962,27.2638,22.5405,26.0872,20.6519
17.10.2000,26.9909,31.2455,26.9792,29.1364,27.8796,26.9985,22.4680,26.1756,20.5845
18.10.2000,29.8545,39.5924,29.8553,29.8037,28.7718,28.1430,22.3358,26.3822,20.2561
19.10.2000,27.5447,NA,27.5453,27.5375,27.1442,26.3008,22.3313,25.3511,21.3789
20.10.2000,26.4015,NA,26.2618,27.1916,26.3777,26.2281,22.0436,25.0986,21.4281
23.10.2000,26.5041,26.4662,26.5814,13.2555,26.1514,25.9305,22.0963,24.8616,21.5377
24.10.2000,25.6512,25.7729,25.4546,25.9924,25.6791,25.4925,22.0067,24.5904,21.6611
25.10.2000,26.7632,27.0090,26.4432,26.1361,26.2870,25.9574,21.9920,25.0251,21.4979
26.10.2000,27.3998,27.8597,26.9080,26.5383,26.4479,25.9501,22.1557,25.1098,21.4633
27.10.2000,26.3201,26.5820,26.0912,26.5876,25.9965,25.7502,21.9690,24.5829,21.2768
30.10.2000,26.4888,26.7721,26.3458,26.0749,25.5681,26.7204,21.7930,24.6649,21.3792
31.10.2000,25.3007,25.2531,25.3206,24.8817,25.2647,26.3640,21.8119,24.4550,21.5052
01.11.2000,24.8817,24.7896,24.9137,24.3267,25.2459,25.3229,21.4934,24.2592,21.5038
02.11.2000,24.4974,23.9677,24.6486,24.0635,25.0279,25.2200,21.4017,23.8875,21.1379
03.11.2000,23.5439,22.8985,23.6956,23.5472,24.4886,24.7548,21.4381,23.6051,21.1358
06.11.2000,24.1530,23.6862,24.2115,24.0199,24.5114,24.7028,21.3749,23.9796,20.8658
07.11.2000,24.3339,24.3151,24.3358,24.1445,24.5116,24.5971,21.3603,23.8663,21.0072
08.11.2000,24.2379,24.9066,24.1862,24.0617,24.5496,24.5718,21.3835,23.9243,23.4115
09.11.2000,24.2536,24.1516,24.2593,24.2061,24.5661,24.7077,21.4440,24.1480,23.6221
10.11.2000,25.5209,26.7490,25.4706,24.9646,25.2985,25.1992,21.6544,24.4467,23.7343
13.11.2000,28.0549,35.7730,27.9845,26.2906,26.4357,26.0796,21.6652,24.7946,23.9555
14.11.2000,25.5800,31.1908,25.5641,24.6107,24.9003,24.9162,21.5406,24.1847,23.7157
15.11.2000,25.1041,29.9963,25.1136,24.4353,24.9650,24.7385,21.5587,24.0676,23.6428
16.11.2000,24.9593,NA,24.9908,24.5653,24.8585,24.9394,21.6407,24.1683,23.6392
17.11.2000,24.8839,NA,24.9322,24.5679,24.7755,24.8762,21.4724,24.2197,23.7221
20.11.2000,26.3919,26.7370,25.5594,12.9781,25.4589,25.4272,21.6026,24.5367,23.9994
21.11.2000,25.5011,25.8557,24.8252,21.7875,25.1541,25.2661,21.7093,24.4108,23.9218
22.11.2000,26.9424,27.5761,25.9533,21.9081,26.1665,26.0438,21.7006,24.8198,24.1690
23.11.2000,26.1599,26.7397,25.4179,21.9362,25.5149,25.5129,21.7097,24.6247,24.0559
24.11.2000,25.3792,25.9249,24.7990,21.8786,25.1034,25.1727,23.8898,24.3656,23.8865
27.11.2000,25.9746,27.5615,24.9281,22.1338,25.2639,25.3961,24.0390,24.5193,24.1336
28.11.2000,26.2554,27.7292,25.4349,22.3044,25.5835,25.5339,24.4033,24.8028,24.2742
29.11.2000,26.2020,27.5936,25.5460,22.3343,25.8965,25.6748,24.4216,24.9647,24.3793
30.11.2000,28.3822,31.2737,27.1862,22.8170,27.3692,26.6541,24.9922,25.6217,24.7578
01.12.2000,27.2654,29.7701,26.3960,22.7541,26.3767,26.2047,24.6862,25.0853,24.4397
04.12.2000,28.1715,31.4434,27.4953,22.6442,27.3095,26.6646,24.9359,25.3852,24.6984
05.12.2000,26.1682,29.4216,25.6116,22.9985,26.1879,25.8440,24.4554,24.9165,24.3244
06.12.2000,25.6741,28.3754,25.3018,23.3421,26.2407,25.8653,24.4936,24.8778,24.3081
